station_id,pm25,median,lat,lon,station_name,cluster_id,cluster_name,n,spatial_block
ag_167694,30.57384187082405,29.935,43.3148,77.0216,Aport Mall East,7,North Central,898,2
ag_167695,30.110937853107345,29.1,43.2015,76.7636,"Abaı auyly, №2 mektep",1,Southwest Suburbs,885,1
ag_167701,36.10541905855339,30.67,43.4012,76.7513,"Isaevo auyly, Isaeva atyndaǵy mektep",8,Far West,871,4
ag_167702,27.195817575083428,25.93,43.2487,76.887,Bögenbai Batyr – Vereŝagin,3,West Residential,899,0
ag_167706,23.18446051167964,23.67,43.25005,76.9179,Kojamqulov - Qarasai batyr,4,City Center,899,0
ag_167709,42.38568409343716,33.23,43.2718,76.8449,№171 mektep,5,West Central,899,1
ag_170429,24.43924276169265,23.685,43.2885,77.004,Duman 2 (Mercur Grad) ,4,City Center,898,2
ag_171445,21.028056818181817,20.865,43.2358,76.9518,Samal 1,4,City Center,880,0
ag_171446,20.734177927927927,19.985,43.231494,76.934146,Baitursynov k-si,4,City Center,888,0
ag_171447,26.228390129259694,26.9,43.2374,76.8995,Zharokov - Mynbayev st.,2,South Central,851,0
ag_171448,27.945717463848723,27.4,43.222398,76.678183,Almalybaq,1,Southwest Suburbs,899,1
ag_173261,30.831233842538197,29.53,43.2427,76.8175,"Aqbulak, 7",3,West Residential,851,1
ag_173269,20.28866515837104,19.435,43.2267,76.9492,Almaty Museum of Arts ,4,City Center,884,0
ag_186392,28.17272727272728,27.87,43.213101,76.7950629,Nurly-Tan 37,1,Southwest Suburbs,891,1
