draw,random_network_mean_MAE_ugm3
496,16.97770754980562
497,19.757448205917143
498,19.429728423079528
499,24.582626982689913
500,18.153666713845517
501,22.17910238425051
502,20.20818447727115
503,22.102119764473176
504,22.570010501092877
505,23.214998525978856
506,22.014143237567882
507,26.827137800805044
508,16.452872671402975
509,19.76104868484907
510,20.829716686336262
511,24.470461915458163
512,20.039124077322672
513,17.008999498434495
514,20.67310531038902
515,19.03693662046258
516,27.171644497695098
517,17.04785895750549
518,27.5850423098057
519,20.42984444357296
520,14.34204049838158
521,20.843084488519164
522,30.159812705233765
523,18.26596244892674
524,19.70928035844783
525,15.54063828727277
526,20.866804983497815
527,23.4040225370097
528,18.984786527679905
529,21.837935393199817
530,17.967603456170252
531,15.993627974782981
532,20.408204757752312
533,15.605816847280229
534,20.85795068466093
535,17.58514899074639
536,23.16733225913409
537,18.09397735161665
538,19.261732644745408
539,23.44179603162084
540,28.448881504250902
541,18.56143445576205
542,24.410409753048693
543,26.046295534770223
544,18.662659976428316
545,17.20930893710377
546,18.84838228584446
547,20.00466699138924
548,21.025770915989337
549,21.946394415187594
550,30.16088443172622
551,18.999570126148665
552,21.534220100887904
553,17.943176259887945
554,20.186201332765645
555,18.066411750011305
556,28.373896377988046
557,20.24792522416739
558,21.036032318224542
559,25.89659578030492
560,21.944795040882838
561,19.110099327016474
562,15.471127357981063
563,17.722903261670886
564,24.049717248095675
565,21.40033774143022
566,24.445697608576584
567,22.084824394955415
568,26.236675400622385
569,22.677785036743646
570,22.20912080022418
571,19.322330857428394
572,17.71660563210809
573,22.382133256539884
574,21.844693912241258
575,21.88789940826017
576,17.395405763444035
577,24.051458093646556
578,19.501795283905683
579,21.118575565594412
580,20.271284422400274
581,21.663488684737775
582,20.443634849084038
583,17.819691090263593
584,23.76764782012377
585,18.06331259646044
586,19.733737639892002
587,16.36816476228784
588,18.697350828889075
589,23.84119377544022
590,18.421899460464303
591,20.31880071268206
592,18.86375367970097
593,19.91879656710991
594,24.050104482874776
595,22.506354067545647
596,27.441457128808036
597,17.210843673093958
598,22.728126054597535
599,18.045421099483146
600,14.440371256425264
601,20.089751215163563
602,20.571549803174708
603,24.744519759525872
604,18.763630957845578
605,20.36261916396929
606,15.560916179563788
607,25.10511918161829
608,19.874400049913966
609,18.288756046793015
610,27.169649774291003
611,26.404943329701855
612,24.496018486682544
613,17.523226546031115
614,19.283911823188483
615,24.818747261137403
616,21.209767650012786
617,23.941589263008876
618,16.210067633341726
619,15.490095970652819
620,18.610022423604082
621,17.53098075992272
622,19.174019839389306
623,24.924202890724146
624,14.754664262753437
625,23.331963622216747
626,16.764235374406578
627,17.994663776647197
628,22.88502721096877
629,20.570668468079543
630,24.045765689276354
631,21.046406104294523
632,25.599636299352824
633,23.49922747128088
634,17.886520717184457
635,20.167537037052274
636,21.125675810378752
637,17.7586404814086
638,16.044184145903525
639,27.13624412409621
640,15.221554622545886
641,21.172987656187566
642,18.695531924330243
643,24.12834705655031
644,25.898499686309986
645,20.934847647128297
646,28.507074122743248
647,14.646250176154973
